Year,Avg Price,Place
1999,48835,Flint
2000,54650,Flint
2001,65900,Flint
2002,69450,Flint
2003,69418,Flint
2004,70030,Flint
2005,71590,Flint
2006,68100,Flint
2007,60300,Flint
2008,39737,Flint
2009,32270,Flint
2010,30425,Flint
2011,37405,Flint
2012,32825,Flint
2013,38575,Flint
2014,32800,Flint
2015,36395,Flint
2016,31325,Flint
1999,174900,Ann Arbor
2000,204075,Ann Arbor
2001,212675,Ann Arbor
2002,215300,Ann Arbor
2003,230750,Ann Arbor
2004,231800,Ann Arbor
2005,257150,Ann Arbor
2006,250150,Ann Arbor
2007,251925,Ann Arbor
2008,239265,Ann Arbor
2009,211100,Ann Arbor
2010,193365,Ann Arbor
2011,204175,Ann Arbor
2012,226200,Ann Arbor
2013,250875,Ann Arbor
2014,239135,Ann Arbor
2015,268165,Ann Arbor
2016,NA,Ann Arbor
1999,65000,Detroit
2000,61350,Detroit
2001,68150,Detroit
2002,73192,Detroit
2003,77535,Detroit
2004,77550,Detroit
2005,78325,Detroit
2006,81680,Detroit
2007,79300,Detroit
2008,67450,Detroit
2009,23450,Detroit
2010,16960,Detroit
2011,23980,Detroit
2012,28150,Detroit
2013,27500,Detroit
2014,31806,Detroit
2015,36600,Detroit
2016,NA,Detroit
1999,NA,Grand Rapids
2000,NA,Grand Rapids
2001,NA,Grand Rapids
2002,NA,Grand Rapids
2003,NA,Grand Rapids
2004,NA,Grand Rapids
2005,NA,Grand Rapids
2006,NA,Grand Rapids
2007,NA,Grand Rapids
2008,NA,Grand Rapids
2009,NA,Grand Rapids
2010,NA,Grand Rapids
2011,"90,068",Grand Rapids
2012,96750,Grand Rapids
2013,102425,Grand Rapids
2014,113000,Grand Rapids
2015,120075,Grand Rapids
2016,NA,Grand Rapids
1999,NA,Kalamazoo
2000,NA,Kalamazoo
2001,NA,Kalamazoo
2002,88925,Kalamazoo
2003,95523,Kalamazoo
2004,105028,Kalamazoo
2005,92050,Kalamazoo
2006,98732,Kalamazoo
2007,103950,Kalamazoo
2008,106700,Kalamazoo
2009,91275,Kalamazoo
2010,66600,Kalamazoo
2011,87300,Kalamazoo
2012,104365,Kalamazoo
2013,97125,Kalamazoo
2014,94750,Kalamazoo
2015,97450,Kalamazoo
2016,NA,Kalamazoo
1999,98553,Lansing
2000,102008,Lansing
2001,110425,Lansing
2002,118720,Lansing
2003,120000,Lansing
2004,131975,Lansing
2005,138450,Lansing
2006,138435,Lansing
2007,139200,Lansing
2008,116750,Lansing
2009,112250,Lansing
2010,105700,Lansing
2011,101625,Lansing
2012,117085,Lansing
2013,119450,Lansing
2014,131175,Lansing
2015,133300,Lansing
2016,NA,Lansing
1999,117488,Michigan
2000,124950,Michigan
2001,131955,Michigan
2002,134310,Michigan
2003,139850,Michigan
2004,147404,Michigan
2005,147325,Michigan
2006,137950,Michigan
2007,131175,Michigan
2008,117175,Michigan
2009,102500,Michigan
2010,99850,Michigan
2011,103101,Michigan
2012,117150,Michigan
2013,130125,Michigan
2014,131825,Michigan
2015,140900,Michigan
2016,NA,Michigan
